second;engine speed (rpm);vehicle speed (km/h);engine temperature (C);Fuel Amount (L);
1;0;0;0;60
2;187,5;15;28,125;59,99622027
3;937,5;75;140,625;59,9773216
4;1062,5;85;159,375;59,9559031
5;1125;90;168,75;59,9332247
6;1125;90;168,75;59,9105463
7;1125;90;168,75;59,88786789
8;1125;90;168,75;59,86518949
9;1125;90;168,75;59,84251109
10;1250;100;187,5;59,81731286
11;1250;100;187,5;59,79211464
12;1250;100;187,5;59,76691641
13;1250;100;187,5;59,74171818
14;1250;100;187,5;59,71651996
15;1250;100;187,5;59,69132173
16;600;48;90;59,67922658
17;600;48;90;59,66713143
18;600;48;90;59,65503629
19;437,5;35;65,625;59,64621691
20;275;22;41,25;59,6406733
21;837,5;67;125,625;59,62379049
22;837,5;67;125,625;59,60690767
23;1087,5;87;163,125;59,58498522
24;1087,5;87;163,125;59,56306276
25;1087,5;87;163,125;59,5411403
26;1087,5;87;163,125;59,51921785
27;1087,5;87;163,125;59,49729539
28;537,5;43;80,625;59,48646015
29;287,5;23;43,125;59,48066456
30;700;56;105;59,46655355
31;975;78;146,25;59,44689894
32;975;78;146,25;59,42724432
33;975;78;146,25;59,40758971
34;975;78;146,25;59,38793509
35;975;78;146,25;59,36828047
36;1225;98;183,75;59,34358621
37;1225;98;183,75;59,31889195
38;1225;98;183,75;59,29419769
39;1225;98;183,75;59,26950343
40;950;76;142,5;59,25035278
41;950;76;142,5;59,23120212
42;950;76;142,5;59,21205147
43;700;56;105;59,19794046
44;700;56;105;59,18382946
45;700;56;105;59,16971845
46;562,5;45;84,375;59,15837925
47;562,5;45;84,375;59,14704005
48;150;12;22,5;59,14401626
49;287,5;23;43,125;59,13822067
50;425;34;63,75;59,12965327
51;562,5;45;84,375;59,11831407
52;812,5;65;121,875;59,10193522
53;1000;80;150;59,08177664
54;1000;80;150;59,06161806
55;1000;80;150;59,04145948
56;1000;80;150;59,0213009
57;1000;80;150;59,00114232
58;1087,5;87;163,125;58,97921986
59;1087,5;87;163,125;58,95729741
60;1087,5;87;163,125;58,93537495
61;1087,5;87;163,125;58,91345249
62;1150;92;172,5;58,89027012
63;1150;92;172,5;58,86708776
64;1162,5;93;174,375;58,84365341
65;1162,5;93;174,375;58,82021906
66;962,5;77;144,375;58,80081642
67;962,5;77;144,375;58,78141379
68;962,5;77;144,375;58,76201115
69;975;78;146,25;58,74235654
70;1087,5;87;163,125;58,72043408
71;1087,5;87;163,125;58,69851162
72;1087,5;87;163,125;58,67658917
73;1087,5;87;163,125;58,65466671
74;1087,5;87;163,125;58,63274425
75;1087,5;87;163,125;58,6108218
76;1087,5;87;163,125;58,58889934
77;975;78;146,25;58,56924473
78;975;78;146,25;58,54959011
79;975;78;146,25;58,52993549
80;975;78;146,25;58,51028088
81;875;70;131,25;58,49264212
82;875;70;131,25;58,47500336
83;875;70;131,25;58,4573646
84;875;70;131,25;58,43972584
85;875;70;131,25;58,42208709
86;812,5;65;121,875;58,40570824
87;812,5;65;121,875;58,38932939
88;812,5;65;121,875;58,37295054
89;812,5;65;121,875;58,3565717
90;812,5;65;121,875;58,34019285
91;812,5;65;121,875;58,323814
92;750;60;112,5;58,30869507
93;750;60;112,5;58,29357613
94;750;60;112,5;58,2784572
95;750;60;112,5;58,26333826
96;750;60;112,5;58,24821933
97;875;70;131,25;58,23058057
98;875;70;131,25;58,21294181
99;875;70;131,25;58,19530305
100;875;70;131,25;58,17766429
101;875;70;131,25;58,16002553
